review_text,star_rating,date,app_version,sentiment,primary_theme,secondary_theme,summary
من ضمن اسوء خدمه عملاء فى الدنيا مفيش احترام مفيش تقدير للعميل .. عشان توصلهم محتاج معجزه .. من سابع المستحيل توصل لمدير او حد محترم وبالغ ومحترم يسمع شكوتك ويحلها او يحاول يحلها حتى .. مفيش حد من خدمه العملاء مهتم بالعميل مفيش حد مهتم يسمع شكوى العميل ده حتى قسم الشكاوى الى مسؤول عن شكاوى العملاء تقريبا بيتم اختيارهم عشوائى .. ميعرفوش يعنى اى عميل ويعنى ايه مشكله تقريبا .. حرفيا من اسوء الابليكشن توصيل الى موجوده ف مصر .. بكتب الكلام ده بعد تقديم شكوى 8 مرات عن طريق الابليكشن لاكن بلا جدوى,1,2026-05-19,,Negative,Other,,"User dissatisfied, mentions other"
Pointless rewarding system.,2,2026-05-19,,Negative,Other,,"User dissatisfied, mentions other"
because it doesn't have free delivery🤬🤬📮📮📮📮📮📮 please I am so hungry😣🍕,2,2026-05-19,13.58.0,Negative,Other,,"User dissatisfied, mentions other"
"Extremely disappointed with talabat. My recent order arrived incomplete, and despite opening a support ticket, I’ve only received repetitive, scripted responses from agents who aren't actually trying to resolve the issue. There is zero accountability here. I will be cancelling my subscription immediately due to this poor level of support.",1,2026-05-19,13.58.0,Negative,App UX / Navigation,Payment Issues,"User dissatisfied, mentions app ux / navigation"
I like your orders where is my free delivery 3 free delivery and I don't have to much money I like your Orders so much,5,2026-05-19,13.59.0,Positive,Order Accuracy,,User satisfied with the service
"As a delivery rider, I pick up many orders from Lulu Hypermarket every day. Order preparation often takes 40 to 55 minutes, which causes delivery delays. Some Talabat staff members also do not treat riders professionally. I hope management improves the process and communication with riders.",1,2026-05-19,,Negative,Delivery Speed,,User frustrated with slow delivery times
"السلام عليكم، لدي مشكلة ما في التطبيق، عندما اسجل رقمي بشكل طبيعي واختار من احدى الخيارات التي من خلالها يرسل لي الرمز، يقول لي: عفواً، ثمة مشكلة ما حدثت, برجاء اعادة المحاولة. ويقول ذلك لي في كل مرة ولا يمكنني تسجيل الدخول بسببها. على الرغم من انني كنت استخدم التطبيق بشكل طبيعي قبلها وكان ممتازاً. ولكن الان حدثت معي هذه المشكلة. ويرجى اصلاحها رجاءا. وشكرا لكم.",1,2026-05-19,13.58.0,Negative,Other,App Crashes / Bugs,"User dissatisfied, mentions other"
I can play it because it's so good just I fix it my groceries ☺️.,3,2026-05-19,,Negative,App Crashes / Bugs,Pricing / Promotions,User experiencing app crashes and technical issues
لا تاخذون رقم ولا تقبلون نشتغل عالتطبيق ليش. خابصينا بتطبيق طلبات لعد ماكو ميقبل نشتغل عليه. 💔😡😡😡,1,2026-05-19,,Negative,Other,,"User dissatisfied, mentions other"
"Although there are minimum amounts $ for any order and you compy with it, the order will be rejected, claiming that there is a connection error or problem with your bank card, and when you go back and modify your order with paying more the application will accept the transaction, the application is fooling as, I have tried that for more than one time to be sure and it is the truth أسوأ تطبيق، وأسوأ خدمه في عمان Although I am using Talabat too much, I am still facing many issues with orders.",1,2026-05-19,13.58.0,Negative,Delivery ETA Accuracy,General Praise,User reports delivery arrived much later than estimated
